endpoint_id,groups_with_1_measurement,groups_with_2_measurements,groups_with_3plus_measurements,groups_exact_consistent,groups_exact_discordant_0p5_to_1,groups_exact_discordant_1_to_2,groups_exact_discordant_gt2,groups_censored_compatible,groups_censored_contradictory,groups_exact_censored_compatible,groups_exact_censored_contradictory
ABCB1_AC50_F,22,0,0,12,0,0,0,10,0,12,0
ABCB1_IC50_A,4,1,0,1,0,0,0,1,0,1,0
ABCB1_IC50_B,1248,97,100,1017,16,0,0,59,53,1033,0
ABCB1_IC50_F,79,42,50,17,0,0,0,5,0,17,0
ABCB1_Ki_B,102,77,1,72,0,0,0,18,0,72,0
ABCB1_Ki_F,8,19,5,0,0,0,0,0,0,0,0
CYP1A2_AC50_F,16013,405,97,0,0,0,0,0,0,0,0
CYP1A2_IC50_A,3981,145,27,1205,4,0,0,2141,11,1209,0
CYP1A2_IC50_B,1193,19,4,71,1,0,0,206,1,72,0
CYP1A2_Ki_A,35,1,0,31,1,0,0,2,0,32,0
CYP1A2_Ki_B,881,5,0,17,0,0,0,0,1,17,0
CYP2C19_AC50_F,16013,405,97,0,0,0,0,0,0,0,0
CYP2C19_IC50_A,3265,136,23,1061,3,0,0,1554,14,1064,0
CYP2C19_IC50_B,1234,16,7,98,0,0,0,138,3,98,0
CYP2C19_Ki_A,86,1,0,43,0,0,0,2,0,43,0
CYP2C19_Ki_B,867,2,0,0,0,0,0,0,0,0,0
CYP2C19_Potency_A,3423,109,21,0,0,0,0,0,0,0,0
CYP2C9_AC50_F,16013,405,97,0,0,0,0,0,0,0,0
CYP2C9_IC50_A,5157,264,43,1878,10,0,0,2135,25,1888,0
CYP2C9_IC50_B,1306,55,11,156,1,0,0,218,12,157,0
CYP2C9_Ki_A,142,11,1,32,0,0,0,2,0,32,0
CYP2C9_Ki_B,867,2,0,0,0,0,0,0,0,0,0
CYP2C9_Potency_A,2790,115,19,0,0,0,0,0,0,0,0
CYP2D6_AC50_F,16013,405,97,0,0,0,0,0,0,0,0
CYP2D6_IC50_A,5992,279,49,1766,7,0,0,2677,29,1773,0
CYP2D6_IC50_B,1163,215,24,81,0,0,0,110,3,81,0
CYP2D6_IC50_F,4,0,0,0,0,0,0,4,0,0,0
CYP2D6_Ki_A,134,4,7,73,3,0,0,2,1,76,0
CYP2D6_Ki_B,867,2,0,0,0,0,0,0,0,0,0
CYP2D6_Potency_A,3113,176,57,0,0,0,0,0,0,0,0
CYP3A4_AC50_F,16013,405,97,0,0,0,0,0,0,0,0
CYP3A4_IC50_A,7676,1315,203,3082,103,0,0,3085,240,3185,0
CYP3A4_IC50_B,1688,258,28,494,4,0,0,194,40,498,0
CYP3A4_Ki_A,149,33,10,118,5,0,0,3,4,123,0
CYP3A4_Ki_B,867,3,0,1,0,0,0,0,0,1,0
CYP3A4_Potency_A,0,6125,320,0,0,0,0,0,0,0,0
hERG_AC50_F,1790,12,2,0,0,0,0,0,0,0,0
hERG_AC50_T,1,0,0,1,0,0,0,0,0,1,0
hERG_IC50_A,42,2,0,26,0,0,0,11,0,26,0
hERG_IC50_B,11892,1153,501,7821,96,0,0,3453,170,7917,0
hERG_IC50_F,70,28,35,47,0,0,0,7,2,47,0
hERG_IC50_T,1904,54,23,1063,2,0,0,662,15,1065,0
hERG_Ki_A,46,0,0,45,0,0,0,1,0,45,0
hERG_Ki_B,2478,340,83,1307,5,0,0,531,43,1312,0
hERG_Ki_T,33,0,0,25,0,0,0,4,0,25,0
hERG_Potency_F,635,22,0,0,0,0,0,0,0,0,0
