endpoint,split,fold,seed,raw_cov,raw_width,raw_interval_score,conformal_cov,conformal_width,conformal_interval_score,mondrian_cov,mondrian_width,n_test_exact
hERG:Ki,random,0,0,0.3868194842406877,0.4893376442663845,6.119600182382473,0.9255014326647565,2.8613039691594784,3.496614599127903,0.9255014326647565,2.8613039691594784,349
hERG:Ki,random,0,1,0.4269340974212034,0.5478177638051049,5.783895638988264,0.8968481375358166,2.5207754071439306,3.325107008201928,0.8968481375358166,2.5207754071439306,349
hERG:Ki,random,1,0,0.3935309973045822,0.46485940738461207,7.146826932141801,0.8840970350404312,2.6173582033555944,3.7639252514350297,0.8840970350404312,2.6173582033555944,371
hERG:Ki,random,1,1,0.48787061994609165,0.7656710333732606,6.728447571636194,0.8975741239892183,2.9117372655017033,4.178405335987048,0.8975741239892183,2.9117372655017033,371
hERG:Ki,random,2,0,0.4025974025974026,0.4687826561311251,6.044066858019018,0.8961038961038961,2.47075013385511,3.206110135933739,0.8961038961038961,2.47075013385511,385
hERG:Ki,random,2,1,0.35844155844155845,0.47332078029365104,6.305622129104408,0.935064935064935,2.584883928166557,3.061501183950943,0.935064935064935,2.584883928166557,385
hERG:Ki,random,3,0,0.4068767908309456,0.5122681509192445,5.761161132403069,0.9169054441260746,2.453962487655107,2.932963119431351,0.9169054441260746,2.453962487655107,349
hERG:Ki,random,3,1,0.332378223495702,0.40946253756869216,6.435094710722515,0.9283667621776505,2.748914153707231,3.308788680394529,0.9283667621776505,2.748914153707231,349
hERG:Ki,random,4,0,0.34173669467787116,0.44042343809814255,7.241912043854651,0.84593837535014,2.3862833414292663,3.652232853566121,0.84593837535014,2.3862833414292663,357
hERG:Ki,random,4,1,0.37254901960784315,0.42500192811549287,7.27871814867462,0.8823529411764706,2.726734670285657,3.8855550085110497,0.8823529411764706,2.726734670285657,357
hERG:Ki,scaffold,0,0,0.35376044568245124,0.5544077634922413,6.770623642165592,0.8913649025069638,2.6227645439142244,3.4600802137374234,0.8913649025069638,2.6227645439142244,359
hERG:Ki,scaffold,0,1,0.3064066852367688,0.4613497755341095,7.113800946369652,0.9275766016713092,2.9623668159581187,3.4515131933794887,0.9275766016713092,2.9623668159581187,359
hERG:Ki,scaffold,1,0,0.37606837606837606,0.6519039401827507,7.115824803681889,0.8689458689458689,2.655818719075723,3.680859584519061,0.8689458689458689,2.655818719075723,351
hERG:Ki,scaffold,1,1,0.28205128205128205,0.4363408052062067,7.829595220661546,0.8746438746438746,2.85508379494614,3.9351443176145064,0.8746438746438746,2.85508379494614,351
hERG:Ki,scaffold,2,0,0.3821138211382114,0.574118873716601,7.9195587037391055,0.8617886178861789,2.5494350387913376,4.01706095558647,0.8617886178861789,2.5494350387913376,369
hERG:Ki,scaffold,2,1,0.28184281842818426,0.49231744995426335,8.858477454120557,0.8699186991869918,2.721719360017791,4.254448490248689,0.8699186991869918,2.721719360017791,369
hERG:Ki,scaffold,3,0,0.43922651933701656,0.6840483140107969,6.852601632625779,0.9337016574585635,3.3456294876611974,4.659836449892721,0.9337016574585635,3.3456294876611974,362
hERG:Ki,scaffold,3,1,0.3867403314917127,0.5746366773984585,6.110140314744409,0.914364640883978,2.5194923003400826,3.5032331776009764,0.914364640883978,2.5194923003400826,362
hERG:Ki,scaffold,4,0,0.3567567567567568,0.6837077923411374,7.452334275492776,0.8486486486486486,2.766038835022644,3.954017734252124,0.8486486486486486,2.766038835022644,370
hERG:Ki,scaffold,4,1,0.34054054054054056,0.6531201441729986,7.849455713264831,0.8567567567567568,2.9183867026508614,4.161747755891138,0.8567567567567568,2.9183867026508614,370
hERG:Ki,assay,0,0,0.5182481751824818,0.8426195543023001,11.485870756828062,0.8102189781021898,3.4761916781682536,6.76649843962688,0.8102189781021898,3.4761916781682536,411
hERG:Ki,assay,0,1,0.4744525547445255,0.6639888038545161,11.990253896656338,0.8272506082725061,4.011589301430495,6.399893460588275,0.8272506082725061,4.011589301430495,411
hERG:Ki,assay,1,0,0.25210084033613445,0.6411172342741855,11.609939393263417,0.7759103641456583,2.428534795589203,4.963701950490225,0.7759103641456583,2.428534795589203,357
hERG:Ki,assay,1,1,0.32492997198879553,0.5577827687850522,10.589144004616374,0.7394957983193278,2.033103127330778,5.348703486902245,0.7394957983193278,2.033103127330778,357
hERG:Ki,assay,2,0,0.3440643863179074,0.5561030086327315,10.646946918357102,0.8189134808853119,3.0645137314981796,6.61126849891379,0.8189134808853119,3.0645137314981796,497
hERG:Ki,assay,2,1,0.4768611670020121,0.5060614071185396,11.027854917067469,0.8611670020120724,3.4717292163223066,6.51899826965997,0.8611670020120724,3.4717292163223066,497
hERG:Ki,assay,3,0,0.17482517482517482,0.6013830642988862,17.09147183979837,0.6188811188811189,2.5436388575782534,6.880178808027937,0.6188811188811189,2.5436388575782534,286
hERG:Ki,assay,3,1,0.1958041958041958,0.5461228090869494,17.76761762504768,0.6573426573426573,2.7186667660703447,6.684048672521501,0.6573426573426573,2.7186667660703447,286
hERG:Ki,assay,4,0,0.11923076923076924,0.3808625156121628,18.20888157152048,0.7153846153846154,2.3640980232102144,8.376315466779253,0.7153846153846154,2.3640980232102144,260
hERG:Ki,assay,4,1,0.16153846153846155,0.5147570873655424,17.745935927021797,0.5846153846153846,2.1271451997780946,9.39987207705116,0.5846153846153846,2.1271451997780946,260
