endpoint,tl,acc_mae,viol_violation_rate
CYP1A2_IC50,exact_only,0.8924192366839693,0.6461563178579952
CYP1A2_IC50,satisficing@0.02,0.9601595427835505,0.37618620023528476
CYP1A2_IC50,satisficing@0.05,0.9418498760041067,0.41721168055734037
CYP1A2_IC50,satisficing@0.10,0.9541850611801301,0.44091312944573674
CYP1A2_IC50,satisficing@0.20,0.949456408082973,0.5532376534235397
CYP1A2_IC50,satisficing_assay@0.05,0.926302978955337,0.4237654878224949
CYP1A2_IC50,satisficing_transfer@0.05,0.9028043964798165,0.42901479001064746
CYP1A2_IC50,tobit,1.3832902185093972,0.16020157744706204
CYP2C19_IC50,exact_only,0.804313463871706,0.5938943370982206
CYP2C19_IC50,satisficing@0.02,0.8408562566410994,0.3764880892308077
CYP2C19_IC50,satisficing@0.05,0.7966436823054489,0.3844072861669949
CYP2C19_IC50,satisficing@0.10,0.7942621718690773,0.47419436266523646
CYP2C19_IC50,satisficing@0.20,0.8308461102381255,0.5149858215998993
CYP2C19_IC50,satisficing_assay@0.05,0.7803650368477189,0.38903573302845146
CYP2C19_IC50,satisficing_transfer@0.05,0.7480440042221794,0.4396443193166494
CYP2C19_IC50,tobit,1.0221030851768853,0.2144537020750613
CYP2C9_IC50,exact_only,0.7349206411356602,0.590901552713865
CYP2C9_IC50,satisficing@0.02,0.7820837105474265,0.38760992857743737
CYP2C9_IC50,satisficing@0.05,0.7764512620527553,0.42188699243836325
CYP2C9_IC50,satisficing@0.10,0.7665692743108037,0.43631484812186033
CYP2C9_IC50,satisficing@0.20,0.7614154733734868,0.4896069236001459
CYP2C9_IC50,satisficing_assay@0.05,0.7477636865851736,0.4252824738180407
CYP2C9_IC50,satisficing_transfer@0.05,0.7365477863526857,0.40492826624734823
CYP2C9_IC50,tobit,0.9340154438434236,0.27960490307116714
CYP2D6_IC50,exact_only,0.8411341661563922,0.6184675519282719
CYP2D6_IC50,satisficing@0.02,0.8099163409448819,0.34573680275986446
CYP2D6_IC50,satisficing@0.05,0.8088031766659723,0.3509411337715965
CYP2D6_IC50,satisficing@0.10,0.7734609050107512,0.40948161996781585
CYP2D6_IC50,satisficing@0.20,0.7888032710465345,0.4770871995175625
CYP2D6_IC50,satisficing_assay@0.05,0.7553764061612392,0.3772602025023669
CYP2D6_IC50,satisficing_transfer@0.05,0.7434043738844908,0.380368156362257
CYP2D6_IC50,tobit,1.0213255602883935,0.1999568872172028
CYP3A4_IC50,exact_only,0.6726728670188273,0.5516047351723905
CYP3A4_IC50,satisficing@0.02,0.7916514584923563,0.38528876189205463
CYP3A4_IC50,satisficing@0.05,0.7593009302064868,0.4290304091756627
CYP3A4_IC50,satisficing@0.10,0.7423672209441913,0.43215939181106455
CYP3A4_IC50,satisficing@0.20,0.7250962272750019,0.46782557023553456
CYP3A4_IC50,satisficing_assay@0.05,0.724390844452896,0.4279383160361408
CYP3A4_IC50,satisficing_transfer@0.05,0.7303134211012787,0.43325699605907914
CYP3A4_IC50,tobit,0.9344611051128876,0.29456011734314635
hERG_IC50,exact_only,0.6802405715415045,0.5416086926858346
hERG_IC50,satisficing@0.02,0.7313184987903799,0.40682317307450616
hERG_IC50,satisficing@0.05,0.6904448075472057,0.4696447141159192
hERG_IC50,satisficing@0.10,0.6706589924559961,0.4928726116479405
hERG_IC50,satisficing@0.20,0.6842966585295913,0.5025140760610011
hERG_IC50,satisficing_assay@0.05,0.6893096116963129,0.4648115621195963
hERG_IC50,satisficing_transfer@0.05,0.6684337347293086,0.47902588810249674
hERG_IC50,tobit,0.778242031047336,0.3447025983259542
