split_kind,treatment_label,acc_mae,viol_violation_rate,dec_false_safe_rate,cov90
assay,aft_conc,0.662,0.461,0.518,0.658
assay,ensemble_satisficing@0.05,0.784,0.42,0.46,0.38
assay,exact_only,0.762,0.635,0.403,0.276
assay,satisficing@0.02,0.815,0.387,0.476,0.282
assay,satisficing@0.05,0.798,0.419,0.467,0.291
assay,satisficing@0.10,0.797,0.452,0.449,0.305
assay,satisficing@0.20,0.791,0.513,0.427,0.317
assay,satisficing_assay@0.02,0.798,0.396,0.48,0.276
assay,satisficing_assay@0.05,0.788,0.426,0.469,0.289
assay,satisficing_assay@0.10,0.776,0.446,0.461,0.301
assay,satisficing_assay@0.20,0.773,0.514,0.427,0.306
assay,satisficing_transfer@0.02,0.774,0.401,0.473,0.275
assay,satisficing_transfer@0.05,0.754,0.427,0.464,0.291
assay,satisficing_transfer@0.10,0.752,0.448,0.454,0.297
assay,satisficing_transfer@0.20,0.749,0.503,0.435,0.296
assay,tobit,0.907,0.304,0.515,0.26
document,aft_conc,0.703,0.504,0.567,0.636
document,ensemble_satisficing@0.05,0.829,0.451,0.488,0.349
document,exact_only,0.818,0.623,0.426,0.239
document,satisficing@0.02,0.857,0.43,0.498,0.264
document,satisficing@0.05,0.844,0.463,0.484,0.259
document,satisficing@0.10,0.84,0.487,0.474,0.266
document,satisficing@0.20,0.836,0.531,0.452,0.284
document,satisficing_assay@0.02,0.85,0.431,0.51,0.249
document,satisficing_assay@0.05,0.83,0.465,0.488,0.256
document,satisficing_assay@0.10,0.83,0.477,0.49,0.268
document,satisficing_assay@0.20,0.824,0.531,0.461,0.28
document,satisficing_transfer@0.02,0.813,0.446,0.5,0.251
document,satisficing_transfer@0.05,0.803,0.466,0.489,0.251
document,satisficing_transfer@0.10,0.793,0.497,0.475,0.275
document,satisficing_transfer@0.20,0.791,0.54,0.453,0.267
document,tobit,0.972,0.331,0.548,0.219
random,aft_conc,0.515,0.382,0.36,0.762
random,ensemble_satisficing@0.05,0.524,0.357,0.268,0.512
random,exact_only,0.521,0.662,0.246,0.359
random,satisficing@0.02,0.552,0.31,0.289,0.397
random,satisficing@0.05,0.541,0.361,0.275,0.399
random,satisficing@0.10,0.537,0.42,0.262,0.409
random,satisficing@0.20,0.542,0.465,0.266,0.41
random,satisficing_assay@0.02,0.531,0.321,0.273,0.393
random,satisficing_assay@0.05,0.528,0.357,0.276,0.401
random,satisficing_assay@0.10,0.525,0.41,0.263,0.416
random,satisficing_assay@0.20,0.523,0.479,0.256,0.404
random,satisficing_transfer@0.02,0.524,0.321,0.278,0.378
random,satisficing_transfer@0.05,0.51,0.376,0.265,0.393
random,satisficing_transfer@0.10,0.509,0.426,0.252,0.409
random,satisficing_transfer@0.20,0.508,0.502,0.249,0.397
random,tobit,0.598,0.256,0.315,0.356
scaffold,aft_conc,0.556,0.402,0.405,0.729
scaffold,ensemble_satisficing@0.05,0.601,0.394,0.331,0.43
scaffold,exact_only,0.595,0.664,0.3,0.283
scaffold,satisficing@0.02,0.627,0.359,0.342,0.305
scaffold,satisficing@0.05,0.614,0.401,0.328,0.321
scaffold,satisficing@0.10,0.615,0.424,0.335,0.33
scaffold,satisficing@0.20,0.614,0.49,0.323,0.336
scaffold,satisficing_assay@0.02,0.607,0.357,0.341,0.307
scaffold,satisficing_assay@0.05,0.601,0.384,0.339,0.334
scaffold,satisficing_assay@0.10,0.596,0.438,0.319,0.341
scaffold,satisficing_assay@0.20,0.594,0.503,0.313,0.328
scaffold,satisficing_transfer@0.02,0.596,0.36,0.339,0.298
scaffold,satisficing_transfer@0.05,0.58,0.429,0.315,0.301
scaffold,satisficing_transfer@0.10,0.583,0.438,0.315,0.314
scaffold,satisficing_transfer@0.20,0.577,0.516,0.307,0.306
scaffold,tobit,0.675,0.293,0.372,0.267
source,aft_conc,0.721,0.548,0.654,0.606
source,ensemble_satisficing@0.05,0.925,0.431,0.648,0.305
source,exact_only,0.954,0.606,0.565,0.201
source,satisficing@0.02,0.97,0.431,0.638,0.221
source,satisficing@0.05,0.939,0.454,0.618,0.229
source,satisficing@0.10,0.96,0.464,0.634,0.272
source,satisficing@0.20,0.954,0.52,0.596,0.254
source,satisficing_assay@0.02,1.043,0.341,0.746,0.176
source,satisficing_assay@0.05,1.032,0.35,0.76,0.171
source,satisficing_assay@0.10,1.04,0.367,0.741,0.228
source,satisficing_assay@0.20,1.006,0.44,0.709,0.229
source,satisficing_transfer@0.02,0.92,0.426,0.641,0.18
source,satisficing_transfer@0.05,0.907,0.426,0.652,0.18
source,satisficing_transfer@0.10,0.928,0.449,0.656,0.204
source,satisficing_transfer@0.20,0.907,0.511,0.623,0.208
source,tobit,1.131,0.308,0.717,0.192
threshold,aft_conc,0.914,,0.508,0.49
threshold,ensemble_satisficing@0.05,0.905,,0.382,0.289
threshold,exact_only,1.001,,0.374,0.141
threshold,satisficing@0.02,0.924,,0.398,0.188
threshold,satisficing@0.05,0.921,,0.386,0.21
threshold,satisficing@0.10,0.971,,0.406,0.252
threshold,satisficing@0.20,0.99,,0.374,0.271
threshold,satisficing_assay@0.02,0.907,,0.383,0.2
threshold,satisficing_assay@0.05,0.905,,0.391,0.214
threshold,satisficing_assay@0.10,0.95,,0.4,0.256
threshold,satisficing_assay@0.20,0.96,,0.367,0.27
threshold,satisficing_transfer@0.02,0.9,,0.379,0.194
threshold,satisficing_transfer@0.05,0.897,,0.391,0.216
threshold,satisficing_transfer@0.10,0.939,,0.355,0.222
threshold,satisficing_transfer@0.20,0.974,,0.384,0.252
threshold,tobit,1.039,,0.413,0.168
