endpoint,split_kind,n_folds,mean_overlap,min_overlap,max_overlap
hERG_IC50,random,5,0.24392079344886114,0.23713511886849234,0.25601684717208184
hERG_IC50,scaffold,5,0.0,0.0,0.0
hERG_IC50,assay,5,0.2137699205705573,0.16923076923076924,0.269559902200489
hERG_IC50,document,5,0.1863992462510639,0.15193448178480656,0.22298597745394555
hERG_IC50,source,3,0.04082478960731061,0.02358659138017297,0.06783187682064086
hERG_IC50,threshold,3,0.1025911888968913,0.07970112079701121,0.13656050955414012
hERG_IC50,assay_scaffold,5,0.0,0.0,0.0
CYP3A4_IC50,random,5,0.2918918918918919,0.274012474012474,0.3051975051975052
CYP3A4_IC50,scaffold,5,0.0,0.0,0.0
CYP3A4_IC50,assay,5,0.253421608842194,0.20959929546455305,0.32117098005939754
CYP3A4_IC50,document,5,0.09174244252347716,0.06524757056918093,0.11474036850921274
CYP3A4_IC50,source,4,0.11895090935657693,0.02882156206964391,0.25
CYP3A4_IC50,threshold,3,0.17747346072186834,0.1624203821656051,0.19636363636363635
CYP3A4_IC50,assay_scaffold,5,0.0,0.0,0.0
CYP2D6_IC50,random,5,0.15221307598210765,0.145368492224476,0.16779431664411368
CYP2D6_IC50,scaffold,5,0.0,0.0,0.0
CYP2D6_IC50,assay,5,0.12494842574279368,0.1044776119402985,0.13661581137309292
CYP2D6_IC50,document,5,0.06415039592519,0.0511727078891258,0.07033997655334115
CYP2D6_IC50,source,4,0.07498898212242314,0.014925373134328358,0.14285714285714285
CYP2D6_IC50,threshold,3,0.07434330818973145,0.051075268817204304,0.11654804270462633
CYP2D6_IC50,assay_scaffold,5,0.0,0.0,0.0
CYP2C9_IC50,random,5,0.12217711183034782,0.10819411296738266,0.13126491646778043
CYP2C9_IC50,scaffold,5,0.0,0.0,0.0
CYP2C9_IC50,assay,5,0.10760449301383548,0.08339889850511409,0.13024850042844902
CYP2C9_IC50,document,5,0.06569142049068698,0.05394524959742351,0.08020989505247376
CYP2C9_IC50,source,4,0.08784234496142383,0.020069330414158,0.14285714285714285
CYP2C9_IC50,threshold,3,0.06561343509929332,0.048323471400394474,0.09187620889748549
CYP2C9_IC50,assay_scaffold,5,0.0,0.0,0.0
CYP1A2_IC50,random,5,0.09202586206896551,0.07758620689655173,0.09913793103448276
CYP1A2_IC50,scaffold,5,0.0,0.0,0.0
CYP1A2_IC50,assay,5,0.07436335750004724,0.05697445972495088,0.10012836970474968
CYP1A2_IC50,document,5,0.04835385426255502,0.030450669914738125,0.06900726392251816
CYP1A2_IC50,source,3,0.010744138634046892,0.0,0.02
CYP1A2_IC50,threshold,3,0.07870400494319475,0.04151624548736462,0.11896551724137931
CYP1A2_IC50,assay_scaffold,5,0.0,0.0,0.0
CYP2C19_IC50,random,5,0.10030266896030442,0.08684546615581099,0.10841836734693877
CYP2C19_IC50,scaffold,5,0.0,0.0,0.0
CYP2C19_IC50,assay,5,0.08359402226136772,0.06371911573472042,0.1099476439790576
CYP2C19_IC50,document,5,0.07198559853296829,0.049516908212560384,0.09986859395532194
CYP2C19_IC50,source,3,0.06336447784163377,0.01833483618875864,0.145985401459854
CYP2C19_IC50,threshold,3,0.049815882232066615,0.04745166959578207,0.05217391304347826
CYP2C19_IC50,assay_scaffold,5,0.0,0.0,0.0
hERG_Ki,random,5,0.35493367083860683,0.31992687385740404,0.38644688644688646
hERG_Ki,scaffold,5,0.0,0.0,0.0
hERG_Ki,assay,5,0.28316413734811485,0.036923076923076927,0.638700947225981
hERG_Ki,document,5,0.08158994680998553,0.02872260015117158,0.13802083333333334
hERG_Ki,source,2,0.001966292134831461,0.0,0.003932584269662922
hERG_Ki,threshold,3,0.07689515139843538,0.006622516556291391,0.20603015075376885
ABCB1_IC50,random,5,0.480857833778796,0.4506172839506173,0.5041152263374485
ABCB1_IC50,scaffold,5,0.0,0.0,0.0
ABCB1_IC50,assay,5,0.47452329717876773,0.4003623188405797,0.5184381778741866
ABCB1_IC50,document,5,0.2412367470080956,0.20680628272251309,0.30637254901960786
ABCB1_IC50,source,2,0.26556316441929934,0.08768741481144934,0.4434389140271493
ABCB1_IC50,threshold,3,0.313430979868583,0.27941176470588236,0.3538050734312417
