matrix,metric,a,b,split_kind,n_endpoints,median_delta,mean_delta,wilcoxon_stat,p_value
endpoint,viol_violation_rate,tobit,exact_only,random,10,-0.38853582024154787,-0.3788612072902418,0.0,0.001953125
endpoint,viol_violation_rate,satisficing@0.05,exact_only,random,10,-0.25487065657415686,-0.26034125718411666,0.0,0.001953125
endpoint,viol_violation_rate,tobit,exact_only,scaffold,10,-0.3515032846910766,-0.3325779583993376,0.0,0.001953125
endpoint,viol_violation_rate,satisficing@0.05,exact_only,scaffold,10,-0.2138192176116488,-0.2065358617704514,0.0,0.001953125
measurement,viol_violation_rate,tobit,exact_only,assay,8,-0.33431200387714305,-0.33150346142854853,0.0,0.0078125
measurement,viol_violation_rate,satisficing@0.05,exact_only,assay,8,-0.21221945897501515,-0.21682030196162572,0.0,0.0078125
measurement,viol_violation_rate,tobit,exact_only,document,8,-0.3011535045130395,-0.29225602126428607,0.0,0.0078125
measurement,viol_violation_rate,satisficing@0.05,exact_only,document,8,-0.16197611021358238,-0.1603428688898015,0.0,0.0078125
measurement,viol_violation_rate,tobit,exact_only,random,8,-0.3969515076328828,-0.4054723898755097,0.0,0.0078125
measurement,viol_violation_rate,satisficing@0.05,exact_only,random,8,-0.28135401477375205,-0.30092398029897693,0.0,0.0078125
measurement,viol_violation_rate,tobit,exact_only,scaffold,8,-0.37284471599189795,-0.3704368690037444,0.0,0.0078125
measurement,viol_violation_rate,satisficing@0.05,exact_only,scaffold,8,-0.2538426810336151,-0.2627208773316706,0.0,0.0078125
measurement,viol_violation_rate,tobit,exact_only,source,8,-0.303151766201177,-0.2983653168615634,0.0,0.0078125
measurement,viol_violation_rate,satisficing@0.05,exact_only,source,8,-0.1611065069807614,-0.15214875971827418,1.0,0.015625
admet,viol_violation_rate,tobit,exact_only,assay,3,-0.12759134374544334,-0.16941806563200879,0.0,0.25
admet,viol_violation_rate,satisficing@0.05,exact_only,assay,3,-0.14377826729422682,-0.16244343160396946,0.0,0.25
admet,viol_violation_rate,tobit,exact_only,document,3,-0.05868720677716832,-0.05903944505790785,0.0,0.25
admet,viol_violation_rate,satisficing@0.05,exact_only,document,3,-0.06660706376515935,-0.060030971167078596,0.0,0.25
admet,viol_violation_rate,tobit,exact_only,random,3,-0.31848883232005076,-0.31102612923741546,0.0,0.25
admet,viol_violation_rate,satisficing@0.05,exact_only,random,3,-0.28270285211600465,-0.28301415554000026,0.0,0.25
admet,viol_violation_rate,tobit,exact_only,scaffold,3,-0.2850257196724152,-0.2725402704842378,0.0,0.25
admet,viol_violation_rate,satisficing@0.05,exact_only,scaffold,3,-0.24233467292550437,-0.25024972926591066,0.0,0.25
admet,viol_violation_rate,tobit,exact_only,source,3,0.00361794500723589,0.0018983910708879244,2.0,0.75
admet,viol_violation_rate,satisficing@0.05,exact_only,source,3,0.023065503409320676,0.019462447614149874,0.0,0.25
