endpoint,split_kind,constraint_G_left,constraint_G_right,max_constraint_excess,strictly_feasible,constraint_fraction_q_ge_tau,constraint_mean_probability_shortfall,constraint_mean_probability
ABCB1_IC50,assay,0.04603007417172188,0.035311595350503884,-7.864162325864343e-05,0.6,0.4186716782181167,0.12598663411489164,0.7642295185446313
CYP1A2_IC50,assay,0.04269374664872881,0.044868709996808295,0.009102641977369758,0.6,0.679394004962547,0.0983265584802874,0.8381340181615549
CYP2C19_IC50,assay,0.03981425706297155,0.04468109272420402,0.006019650772213897,0.6,0.7099640735691978,0.08555419170006591,0.8538253845141991
CYP2C9_IC50,assay,0.051499741524457895,0.035172675922512955,0.006662411615252456,0.6,0.7852902733785392,0.06960593965059123,0.8758431346640576
CYP2D6_IC50,assay,0.058472995273768855,0.032230119872838206,0.009239245578646619,0.5,0.7041316182776298,0.08328412084633885,0.8550005331715363
CYP3A4_IC50,assay,0.05036864988505836,0.031687026470899535,0.0027473557740449474,0.5,0.7306894443127703,0.07754630114807284,0.8599936175788295
hERG_IC50,assay,0.04823030494153493,0.03469494478777046,0.005560703948140078,0.6,0.6818411304436127,0.08764765931868797,0.8422227678704877
hERG_Ki,assay,0.05570382308214898,0.02047384719480757,0.010909844376146744,0.7,0.6123108712716501,0.09953856593695007,0.8127607145346681
ABCB1_IC50,document,0.04235555063933129,0.02934211457613849,-0.004028064385056552,0.7,0.41597995752675415,0.12241028600465372,0.7659094147320898
CYP1A2_IC50,document,0.05134922154247755,0.02033616732805963,0.0013492215424775484,0.3,0.8504127435345994,0.05466837819793875,0.9078872816678306
CYP2C19_IC50,document,0.04546059928834434,0.030264289677143053,-0.0015458384528756522,0.7,0.7091986936799239,0.08569522269042287,0.8517372301829041
CYP2C9_IC50,document,0.05533967353403561,0.03978658393025393,0.014626536518335287,0.2,0.7541711221731222,0.07764929735914937,0.8662494092768964
CYP2D6_IC50,document,0.04934604931622738,0.03704906888306136,0.0021078944206237168,0.5,0.6930545834745871,0.09008864808094874,0.8464213318868529
CYP3A4_IC50,document,0.06265106089413161,0.033986352570354886,0.018747355416417068,0.3,0.7154754889032741,0.07847934586558723,0.8564537297209881
hERG_IC50,document,0.04262764565646644,0.04219995066523547,0.0006511040031909381,0.6,0.7570239759260267,0.07384297779993038,0.8708126063786346
hERG_Ki,document,0.043492023274302447,0.03328193878987801,0.009074074961245026,0.4,0.5098087170948565,0.1265354961674678,0.7737333991294989
ABCB1_IC50,random,0.04539965689182278,0.030213315039873078,0.004782156459987138,0.4,0.4139847650609102,0.13283122031286626,0.7579156196055126
CYP1A2_IC50,random,0.04685979485511775,0.04045822136104103,0.009690071642398776,0.3,0.755645611351739,0.07335315054191191,0.8692046222389468
CYP2C19_IC50,random,0.03793957494199273,0.04393136035650963,0.003096193447709037,0.3,0.5854889099745354,0.1216715958164661,0.7972131036378238
CYP2C9_IC50,random,0.054466312378644896,0.037028330937027884,0.010049737989902446,0.4,0.6204945346669886,0.10693461113965456,0.8207136970704673
CYP2D6_IC50,random,0.05079687628895039,0.039122169092297515,0.013576766848564098,0.3,0.6707969569914469,0.0892369446397773,0.8434009666493554
CYP3A4_IC50,random,0.05431047119200225,0.032768910098820894,0.005802776664495428,0.3,0.7474206721969366,0.0798587951223814,0.8620335281845382
hERG_IC50,random,0.04302104897797102,0.0435457587242126,0.001136787235736788,0.7,0.7113064109032978,0.08850232335497014,0.8508666033487382
hERG_Ki,random,0.0275802330113947,0.03306192909367377,-0.005748360231518793,0.6,0.5217311973728016,0.11770859589538492,0.7849775679368035
ABCB1_IC50,scaffold,0.0433276647701859,0.02619580142199988,-0.0033579602837563024,0.7,0.4234729283476968,0.1222901014982134,0.7688322068374014
CYP1A2_IC50,scaffold,0.049607511423528164,0.03677165936678643,0.007984933629631947,0.5,0.743949255343605,0.07764059188585176,0.8670400103658746
CYP2C19_IC50,scaffold,0.054091228358447506,0.04609350524842735,0.015133837983012155,0.3,0.6310430675714362,0.11195930302399368,0.8107437793673373
CYP2C9_IC50,scaffold,0.043171941488981194,0.03948248419910663,0.0008061166852711972,0.6,0.6609273177655834,0.0970594344004905,0.8359590429699896
CYP2D6_IC50,scaffold,0.05427495613694185,0.02932052575051778,0.0054824724793433675,0.6,0.7162754165476389,0.09129182687916507,0.8479835469290228
CYP3A4_IC50,scaffold,0.06307089868932961,0.03159973565489049,0.015715201944112744,0.2,0.7760181630270423,0.06669156051241801,0.8762077116081747
hERG_IC50,scaffold,0.049034488946199384,0.039199182018637604,0.0023409172892570078,0.6,0.6946279089652165,0.0878802035474535,0.8422740781230503
hERG_Ki,scaffold,0.03193760449066756,0.03512154314666982,-0.005282426998019252,0.8,0.6666460706243552,0.0648425858416691,0.8547146418216846
ABCB1_IC50,source,0.04584223171696063,0.03201298089697955,0.0003105162642895714,0.25,0.397329650092081,0.12541481962478987,0.7641867423579697
CYP1A2_IC50,source,0.04767143105467155,0.016088399027163715,-0.002328568945328454,0.8333333333333334,0.7694248045920936,0.08683223329151667,0.8654763869481169
CYP2C19_IC50,source,0.04351905337534842,0.039224562235176515,0.010685840745766917,0.16666666666666666,0.7571338130976503,0.06289765910778562,0.8797135211046031
CYP2C9_IC50,source,0.05623385449871417,0.056688297539949375,0.02964360713958736,0.25,0.6652802154038724,0.09493650519510324,0.8344283639553418
CYP2D6_IC50,source,0.055826734285801594,0.03806646587327116,0.009621955268084945,0.375,0.6145595610542379,0.11801001266537708,0.8079716502491673
CYP3A4_IC50,source,0.05250548897311086,0.028156549204140853,0.006369042024016336,0.375,0.7016896484731442,0.07865772998295753,0.8553087913718671
hERG_IC50,source,0.05473919678479427,0.029899626349409365,0.008080790564417765,0.3333333333333333,0.6132635572103413,0.10496840186388096,0.8189208521837386
hERG_Ki,source,0.0283566848374903,0.0304623683914542,0.004773787967860672,0.75,0.617903448540412,0.08495572248095445,0.8294463339757118
